,adGroupId,adGroupName,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions
91,108156863737244,(B07BBPBP73) 3ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9337278538408,type c 金属头-6ft,0,0.0,0
92,194408610997057,(B07BBPBP73) 3ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151337184167619,type c cable manual 1 pack,0,0.0,0
93,207589857164494,(B07B4L7GPV) 6ft blue,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151337184167619,type c cable manual 1 pack,0,0.0,0
94,47013753304055,(B07CZWFNSP)red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96053032655072,3350 Portable charger auto,0,0.0,0
95,218647961884893,(B07CZWXL3F&B07CZWFNSP&B07CZWXL3F)all,1,0,1,0,1,0,1,0,23.99,0.0,23.99,0.0,23.99,0.0,23.99,0.0,1,1,1,1,96053032655072,3350 Portable charger auto,3,1.24,199
96,89557061819498,(B07H7X6324) Adapter,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134358165497751,universal travel adapter,0,0.0,0
97,122649405795579,travel adapter,1,0,1,0,1,0,1,0,29.99,0.0,29.99,0.0,29.99,0.0,29.99,0.0,1,1,1,1,269492915958144,travel adapter manual,9,17.84,2282
98,60339392996648,(B07CZWSDLP) black broad,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54846112529957,3350 Portable charger manual,0,0.0,0
99,266189838584847,(B07CZWFNSP) red broad,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54846112529957,3350 Portable charger manual,0,0.0,0
100,207538268036120,3350 broad,1,1,1,1,1,1,1,1,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,1,1,1,1,54846112529957,3350 Portable charger manual,4,4.88,924
101,130765106486790,XCENTZ-Wireless Accessories -  Data Cables/Software,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,268409163288381,Advertise Top Selling Items,0,0.0,0
102,223037109376502,XCENTZ-Wireless Cases -  Bipod/Tripod Cases,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,268409163288381,Advertise Top Selling Items,0,0.0,0
103,242381700840239,XCENTZ-Wireless Cases -  Cases,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,268409163288381,Advertise Top Selling Items,0,0.0,0
104,187051026127434,XCENTZ-Wireless Accessories -  Car Kit,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75699340976866,Advertise Deals,0,0.0,0
105,113653343574180,XCENTZ-Wireless Accessories -  Data Cables/Software,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75699340976866,Advertise Deals,0,0.0,0
106,109675651095703,XCENTZ-Wireless Cases -  Cases,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75699340976866,Advertise Deals,0,0.0,0
107,245825864159345,XCENTZ-Wireless Accessories -  Data Cables/Software,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151218320942470,Advertise Excess FBA Inventory,0,0.0,0
108,2930084077882,XCENTZ-Others,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,69513836548451,Advertise New Products,0,0.0,0
109,154909559474093,XCENTZ-Wireless Accessories -  Travel/Wall Chargers,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,69513836548451,Advertise New Products,0,0.0,0
